epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2245.52,0.22485,0.56119,0.84348,0.77611,0.95863,0.87295,0.8688,0.17529,0.51825,0.78434,8.4955e-05,8.4955e-05,8.4955e-05
107,2264.38,0.221,0.55328,0.8427,0.77525,0.95608,0.86641,0.8628,0.1736,0.52864,0.78375,8.4526e-05,8.4526e-05,8.4526e-05
108,2283.34,0.21806,0.54483,0.83908,0.77886,0.96482,0.87624,0.87298,0.1732,0.49514,0.78324,8.4097e-05,8.4097e-05,8.4097e-05
109,2302.26,0.21882,0.55283,0.84307,0.76825,0.96944,0.86723,0.86318,0.17527,0.52709,0.7832,8.3668e-05,8.3668e-05,8.3668e-05
110,2321.22,0.21698,0.53759,0.8398,0.77007,0.96733,0.87335,0.87008,0.17188,0.50742,0.78215,8.3239e-05,8.3239e-05,8.3239e-05
111,2340.08,0.21652,0.54477,0.83742,0.76888,0.97054,0.86692,0.8645,0.17249,0.51051,0.78151,8.281e-05,8.281e-05,8.281e-05
112,2359.11,0.22567,0.54544,0.84419,0.77664,0.95737,0.86965,0.86601,0.17219,0.51748,0.78154,8.2381e-05,8.2381e-05,8.2381e-05
113,2378.03,0.22218,0.52716,0.84261,0.76667,0.95603,0.87442,0.87093,0.17343,0.52534,0.78361,8.1952e-05,8.1952e-05,8.1952e-05
114,2397.02,0.21993,0.52867,0.84596,0.77845,0.94538,0.8559,0.85172,0.16976,0.51992,0.78094,8.1523e-05,8.1523e-05,8.1523e-05
115,2416.11,0.21372,0.53043,0.83643,0.77111,0.97027,0.88158,0.87743,0.1757,0.50754,0.78366,8.1094e-05,8.1094e-05,8.1094e-05
116,2434.82,0.21734,0.52618,0.83937,0.77636,0.97323,0.87279,0.8694,0.17141,0.50925,0.78178,8.0665e-05,8.0665e-05,8.0665e-05
117,2453.49,0.21579,0.52359,0.83968,0.77666,0.96648,0.88084,0.87569,0.17191,0.51045,0.78261,8.0236e-05,8.0236e-05,8.0236e-05
118,2472.21,0.2128,0.52302,0.83307,0.77578,0.96748,0.87931,0.87598,0.17145,0.52551,0.78208,7.9807e-05,7.9807e-05,7.9807e-05
119,2490.86,0.21005,0.52584,0.84009,0.76207,0.97953,0.87488,0.87215,0.17307,0.51223,0.78257,7.9378e-05,7.9378e-05,7.9378e-05
120,2510.46,0.21374,0.53371,0.83561,0.77785,0.95391,0.87294,0.86921,0.17876,0.5275,0.78509,7.8949e-05,7.8949e-05,7.8949e-05
121,2529.38,0.21397,0.51505,0.83805,0.76206,0.97943,0.87826,0.87516,0.16969,0.50926,0.78126,7.852e-05,7.852e-05,7.852e-05
122,2548.29,0.21524,0.50263,0.83651,0.77343,0.96115,0.87154,0.86785,0.16911,0.51111,0.78172,7.8091e-05,7.8091e-05,7.8091e-05
