epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,2535.82,0.22024,0.49036,0.85055,0.76797,0.97471,0.88443,0.88023,0.17912,0.49797,0.79539,7.4659e-05,7.4659e-05,7.4659e-05
131,2554.24,0.21539,0.48723,0.84781,0.78065,0.9609,0.89084,0.88802,0.17418,0.47839,0.79108,7.423e-05,7.423e-05,7.423e-05
132,2572.53,0.21479,0.47851,0.84285,0.77543,0.97061,0.88793,0.88407,0.17369,0.48652,0.79191,7.3801e-05,7.3801e-05,7.3801e-05
133,2592.18,0.21786,0.49163,0.84394,0.7855,0.95189,0.87587,0.87102,0.17202,0.49415,0.7912,7.3372e-05,7.3372e-05,7.3372e-05
134,2611.63,0.21854,0.48805,0.8454,0.76521,0.97703,0.88556,0.88245,0.17221,0.47644,0.79043,7.2943e-05,7.2943e-05,7.2943e-05
135,2630.9,0.21958,0.48028,0.84553,0.78668,0.95344,0.88352,0.87887,0.17173,0.47354,0.79116,7.2514e-05,7.2514e-05,7.2514e-05
136,2651.36,0.21417,0.47819,0.84481,0.77127,0.97154,0.87948,0.87581,0.17005,0.47357,0.79117,7.2085e-05,7.2085e-05,7.2085e-05
137,2671.92,0.20797,0.48343,0.83901,0.77939,0.95581,0.87628,0.87271,0.16959,0.48228,0.78951,7.1656e-05,7.1656e-05,7.1656e-05
138,2693.27,0.21496,0.48189,0.84623,0.78262,0.95812,0.86851,0.86491,0.16914,0.48643,0.78948,7.1227e-05,7.1227e-05,7.1227e-05
139,2713.83,0.21767,0.47407,0.84404,0.77527,0.96124,0.88513,0.88159,0.16943,0.47349,0.78878,7.0798e-05,7.0798e-05,7.0798e-05
140,2735.44,0.21444,0.48469,0.84465,0.762,0.97692,0.88743,0.88393,0.16842,0.47681,0.78922,7.0369e-05,7.0369e-05,7.0369e-05
141,2756.89,0.21231,0.47165,0.84336,0.77677,0.9557,0.87791,0.87504,0.16713,0.48067,0.78893,6.994e-05,6.994e-05,6.994e-05
142,2777.44,0.21728,0.4776,0.84856,0.78374,0.95552,0.87749,0.87371,0.16745,0.48542,0.78853,6.9511e-05,6.9511e-05,6.9511e-05
143,2796.39,0.22028,0.47445,0.84609,0.77222,0.95685,0.8758,0.87119,0.17438,0.48525,0.79292,6.9082e-05,6.9082e-05,6.9082e-05
144,2815.28,0.20971,0.47181,0.84206,0.77776,0.95528,0.87684,0.87349,0.16928,0.47905,0.7897,6.8653e-05,6.8653e-05,6.8653e-05
